Disease,Serotype,Reason,Country,Code,Unit type,Latitude,Longitude,Admin1,OBStartDate,OBEndDate,Species,Susceptible,Cases,Deaths,Destroyed,Slaughtered
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.65,5.42,Li_ge,12/09/06,13/12/06,Cattle,101,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,4.45,Vlaams Brabant,26/09/06,13/12/06,Cattle,49,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.12,3.55,Oost-Vlaanderen,24/09/06,13/12/06,Cattle,103,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.2,3.48,Oost-Vlaanderen,25/09/06,13/12/06,Sheep,2,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.02,3.67,Oost-Vlaanderen,26/09/06,13/12/06,Sheep,27,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.87,5.32,Limburg,25/09/06,13/12/06,Sheep,2,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.22,3.75,Oost-Vlaanderen,28/09/06,13/12/06,Sheep,36,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,5.85,Li_ge,20/09/06,13/12/06,Sheep,9,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.07,3.87,Namur,23/09/06,13/12/06,Sheep,151,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.53,4.73,Luxembourg,26/09/06,13/12/06,Sheep,10,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.65,5.72,Li_ge,27/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,3.53,Oost-Vlaanderen,24/09/06,13/12/06,Sheep,3,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.8,5.1,Vlaams Brabant,22/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.05,3.65,Oost-Vlaanderen,21/09/06,13/12/06,Sheep,27,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.05,3.65,Oost-Vlaanderen,25/09/06,13/12/06,Sheep,7,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.05,3.65,Oost-Vlaanderen,26/09/06,13/12/06,Sheep,69,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.98,Li_ge,21/09/06,13/12/06,Sheep,3,2,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.13,Limburg,29/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.87,4.93,Vlaams Brabant,26/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.97,3.47,Oost-Vlaanderen,22/09/06,13/12/06,Sheep,15,1,0,0,0
